"serial","year_serial","time_serial","incident_id","school","school_level","date","year","first_shot_time","time_slot","decimal_time","city","state","lat","long","location","location_type","shoot_category","time_slot_group","random","random_x","random_y","random_x1","random_y1","random_x2","random_y2","males","na","females","killed","injured","total","long2","lat2","frequency","school_number","random_x10","random_y10","internal_serial"
1,1,1,"19700105DCUNW","Unnamed High School","High","1970-01-05",1970,"NA:NA:NA",NA,NA,"Washington","DC",38.98379,-77.03683,"Playground","Outside on School Property","0-5",-1,0.40696185431443155,0.06409801519475877,0.43702198076061904,0.894594612531364,0.8687261308077723,0.7569538017269224,0.7064390792511404,0,0,0,0,0,0,1960914.019170197,-394735.70756621717,1,1738,0.7303927845787257,0.3321807677857578,1
2,2,2,"19700105DCSOW","Sousa Junior High","JuniorHigh","1970-01-05",1970,"NA:NA:NA",NA,NA,"Washington","DC",38.8839,-76.95318,"Hallway","Inside School Building","0-5",-1,0.6731879278086126,0.5556562165729702,0.19487765640951693,0.03463366301730275,0.6586946400348097,0.8439378254115582,0.07004913548007607,1,0,0,0,1,1,1970709.777652428,-403543.22404727474,1,1589,0.9589503966271877,0.5941928632091731,1
3,3,3,"19700105DCHIW","Hine Junior High School","High","1970-01-05",1970,"NA:NA:NA",NA,NA,"Washington","DC",38.88534,-76.99531,"Inside School Building","Inside School Building","0-5",-1,0.6177530956920236,0.3257698086090386,0.5355768625158817,0.987379148369655,0.42248897813260555,0.5207117586396635,0.365106706507504,1,0,0,1,0,1,1967181.6194602747,-404391.3470009309,1,816,0.7147548105567694,0.6414555599913001,1
4,4,4,"19700206OHJOC","John F. Kennedy High School","High","1970-02-06",1970,"NA:NA:NA",NA,NA,"Cleveland","OH",41.4434118,-81.5740721,"Hallway","Inside School Building","0-5",-1,0.17827883129939437,0.3538361864630133,0.425448294961825,0.28372274129651487,0.2636955992784351,0.40376483951695263,0.4813208165578544,1,0,0,0,1,1,1524523.8054738468,-223547.22639602632,1,901,0.48225791146978736,0.8113824878819287,1
5,5,5,"19700323CADAL","David Starr Jordan High School","High","1970-03-23",1970,"NA:NA:NA",NA,NA,"Long Beach","CA",33.87251,-118.18525,"Beside Building","Outside on School Property","5-10",-1,0.3842742540873587,0.0024419003166258335,0.8596129438374192,0.17188273603096604,0.9084353672806174,0.8582114146556705,0.7269249965902418,2,0,0,0,2,2,-1674341.199439736,-1054037.3269514004,1,485,0.16307032923214138,0.16455039591528475,1
6,6,1,"19700415ARPIP","Pine Bluff Coleman High School","High","1970-04-15",1970,"12:00:00",12,12,"Pine Bluff","AR",34.21621,-92.05431,"Cafeteria","Inside School Building","10-30",12,0.0598983836825937,0.916661772178486,0.607386427000165,0.16828900133259594,0.31403788481839,0.3957960093393922,0.5986044243909419,1,5,0,1,5,6,734012.3917273657,-1161431.069068759,1,1381,0.2792838050518185,0.05963382846675813,1
7,7,1,"19700422DEPIW","Pierre S. Dupont High School","High","1970-04-22",1970,"09:00:00",9,9,"Wilmington","DE",39.76412,-75.53343,"Hallway","Inside School Building","0-5",9,0.4938246081583202,0.32182841398753226,0.12616058345884085,0.7587505774572492,0.6415516205597669,0.028601802187040448,0.8430690651293844,1,0,0,1,0,1,2060725.6601114606,-273844.8604292493,1,1379,0.4402418495155871,0.4058441056404263,1
8,8,1,"19700508FLCAD","Carver High School","High","1970-05-08",1970,"10:00:00",10,10,"Delray Beach","FL",26.45507,-80.08588,"Inside School Building","Inside School Building","0-5",10,0.7957769727800041,0.4016684456728399,0.23230423009954393,0.7167391802649945,0.6934705430176109,0.6431813342496753,0.9412812271621078,1,0,0,0,1,1,1990810.9870460478,-1823072.8735033274,1,345,0.052843942772597075,0.14451585127972066,1
9,9,6,"19700515UTBEO","Ben Lomond High School","High","1970-05-15",1970,"NA:NA:NA",NA,NA,"Ogden","UT",41.2493953,-111.9507928,"Hallway","Inside School Building","0-5",-1,0.90857262047939,0.9935213627759367,0.0680706799030304,0.5334100974723697,0.3022274568211287,0.3934429355431348,0.20056673954240978,1,0,1,0,2,2,-997747.8780080193,-344222.5715144437,1,240,0.9540912385564297,0.977608161047101,1
10,10,1,"19700828TXRIE","Riverside High School","High","1970-08-28",1970,"00:00:00",0,0,"El Paso","TX",31.734007,-106.370035,"Outside on School Property","Outside on School Property","5-10",0,0.34178299992345273,0.07387521746568382,0.31980653083883226,0.5321423490531743,0.6064528997521847,0.19604877871461213,0.33854915853589773,1,0,0,0,1,1,-606845.4457297971,-1447073.7872784766,2,106,0.3203521182294935,0.8196832817047834,1
11,11,7,"19700831FLALM","Allapatah Elementary School","Elementary","1970-08-31",1970,"NA:NA:NA",NA,NA,"Miami","FL",25.90315,-80.30894,"Inside School Building","Inside School Building",NA,-1,0.42893236130476,0.6598113861400634,0.5100156930275261,0.0013459441252052784,0.151386080076918,0.8046379222068936,0.5727033969014883,1,0,0,1,0,1,1979943.822182707,-1887823.9798113026,1,167,0.21640793583355844,0.4806316446047276,1
12,12,8,"19700914TNHAN","Hamilton High School","High","1970-09-14",1970,"NA:NA:NA",NA,NA,"Nashville","TN",35.1001803,-90.0173702,"Hallway","Inside School Building",NA,-1,0.6945337073411793,0.5238729235716164,0.22414109390228987,0.7478083425667137,0.5227668834850192,0.03515603765845299,0.5957484911195934,3,0,0,1,2,3,910846.1401066361,-1044350.3353697718,5,1,0.9792037301231176,0.9952919788192958,1
13,13,9,"19700924IDMEM","Meridian High School","High","1970-09-24",1970,"NA:NA:NA",NA,NA,"Meridian","ID",43.613955,-116.416165,"Parking Lot","Outside on School Property","0-5",-1,0.8520194236189127,0.33525712019763887,0.622545147780329,0.002518502762541175,0.9636066167149693,0.17394727654755116,0.592282289173454,1,0,0,1,0,1,-1314052.688732808,-21243.376330682444,1,1152,0.7736860394943506,0.6743482607416809,1
14,14,10,"19700928IACED","Central High School","High","1970-09-28",1970,"NA:NA:NA",NA,NA,"Davenport","IA",41.53149,-90.57643,"Bathroom","Inside School Building","0-5",-1,0.8983533289283514,0.9193757695611566,0.3267048017587513,0.6556379003450274,0.8375152864027768,0.09955277456901968,0.43861018354073167,0,0,1,0,1,1,784655.5644719868,-340412.2494230641,1,375,0.3118697467725724,0.43805950437672436,1
15,15,11,"19701005MIPOD","Pontiac Central High School","High","1970-10-05",1970,"NA:NA:NA",NA,NA,"Detroit","MI",42.382562387198,-83.111122276698,"Outside on School Property","Outside on School Property",NA,-1,0.531182898208499,0.21614344278350472,0.3303424601908773,0.2332228822633624,0.16927184048108757,0.5976400901563466,0.9490499338135123,4,0,0,0,4,4,1378930.1280994383,-148190.51530241157,1,1400,0.06556070852093399,0.38843308319337666,1
16,16,12,"19701019TNBOM","Booker T. Washington High School","High","1970-10-19",1970,"NA:NA:NA",NA,NA,"Memphis","TN",35.12787,-90.04537,"Inside School Building","Inside School Building",NA,-1,0.35458594001829624,0.38742844853550196,0.3972564598079771,0.7427819350268692,0.2253930950537324,0.26213445281609893,0.0851867264136672,1,0,0,1,0,1,907979.5115758439,-1041601.8064613722,1,281,0.2168927628081292,0.047348293941468,1
17,17,2,"19701020TNWAN","Washington Junior High School","JuniorHigh","1970-10-20",1970,"12:00:00",12,12,"Nashville","TN",36.16311,-86.8125,"Hallway","Inside School Building","0-5",12,0.25526333576999605,0.1145918897818774,0.9741913152392954,0.7426562684122473,0.13449254375882447,0.8473526751622558,0.36141176032833755,1,0,0,0,1,1,1183967.0240059018,-887713.2738515573,1,1782,0.5214452869258821,0.35218956181779504,1
18,18,1,"19701027OHAPM","Appleseed Junior High School","JuniorHigh","1970-10-27",1970,"08:30:00",8,8.5,"Mansfield","OH",40.74811,-82.52711,"Bathroom","Inside School Building","0-5",8,0.8390568485483527,0.13374162185937166,0.14375009899958968,0.7006796507630497,0.5486785154789686,0.8022617760580033,0.6107328168582171,1,0,0,0,1,1,1462924.6117800456,-316789.860632015,1,183,0.5609479837585241,0.5007421032059938,1
